Year,Term,YearTerm,Subject,Number,Course Title,Sched Type,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Students,Primary Instructor
2011,Spring,2011-sp,ACE,346,Tax Policy and Finan Planning,LCD,0,6,11,9,13,4,1,2,0,0,0,0,0,0,46,"Owens, Doug"
2011,Spring,2011-sp,ACE,360,Spreadsheet Models & Applic,LBD,5,5,2,2,0,2,0,2,2,0,0,1,1,0,22,"Doehring, Todd A"
2011,Spring,2011-sp,ACE,360,Spreadsheet Models & Applic,LBD,3,7,10,1,4,3,3,4,0,1,0,0,0,0,36,"Doehring, Todd A"
2011,Spring,2011-sp,ACE,403,Agricultural Law,LCD,0,4,0,3,5,0,2,5,3,0,0,1,0,0,23,"Grossman, Margaret R"
2011,Spring,2011-sp,ACE,406,Environmental Law,LCD,1,1,3,5,3,6,0,5,4,0,2,2,0,0,32,"Grossman, Margaret R"
2011,Spring,2011-sp,ACE,411,Environment and Development,LCD,6,7,5,4,2,4,3,3,1,0,2,1,0,1,38,"Khanna, Madhu"
2011,Spring,2011-sp,ACE,427,Commodity Price Analysis,LCD,6,7,5,5,7,7,7,6,1,0,1,1,0,0,53,"Irwin, Scott H"
2011,Spring,2011-sp,ACE,430,Food Marketing,LCD,0,4,12,10,5,8,10,1,0,0,0,0,0,0,50,"Goldsmith, Peter D"
2011,Spring,2011-sp,ACE,431,Agri-food Strategic Management,LCD,0,3,5,10,11,4,3,0,0,0,0,0,0,0,36,"Micheels, Eric T"
2011,Spring,2011-sp,ACE,444,Finan Serv & Invest Plan,LCD,4,4,1,2,6,0,3,1,2,0,0,0,0,0,23,"Sherrick, Bruce J"
2011,Spring,2011-sp,ACE,445,Intermediate Personal Fin Plan,LBD,0,5,4,3,2,2,2,1,0,1,1,1,0,0,22,"Lyons, Angela C"
2011,Spring,2011-sp,ACE,448,Rural Real Estate Appraisal,LCD,0,3,2,3,3,3,4,2,1,0,0,0,0,0,21,"Hornbaker, Robert H"
2011,Spring,2011-sp,ACE,451,Agriculture in Intl Dev,LCD,0,11,2,1,5,1,0,4,4,0,1,1,0,0,30,"Winter-Nelson, Alex E"
2011,Spring,2011-sp,ACES,179,History of Ag in IL Since 1860,LCD,0,5,5,5,8,2,3,2,0,0,0,0,0,0,30,"Reid, Debra A"
2011,Spring,2011-sp,ADV,300,Introduction to Advertising,LCD,18,14,16,24,29,24,8,10,5,3,2,1,0,1,154,"Victor, Salvador R"
2011,Spring,2011-sp,ADV,300,Introduction to Advertising,LCD,25,141,19,19,77,11,2,19,0,2,4,0,6,1,325,"Hall, Steven R"
2011,Spring,2011-sp,ADV,400,Digital Advertising,LCD,0,8,21,0,1,0,0,0,0,0,0,0,0,0,30,"Ham, Chang Dae"
2011,Spring,2011-sp,ADV,410,Advanced Public Relations,LCD,29,103,57,20,11,11,5,2,0,1,0,0,0,1,239,"Olson, Katrina M"
2011,Spring,2011-sp,ADV,412,Advertising History,LCD,0,0,8,10,16,12,8,6,5,1,1,1,1,0,69,"Chambers, Jason P"
2011,Spring,2011-sp,ADV,450,Content Creation,LCD,0,8,17,24,31,27,15,8,4,2,0,0,0,1,136,"Sheldon, Peter S"
2011,Spring,2011-sp,ADV,475,Multicultural Advertising,LCD,0,1,6,9,9,3,4,2,0,0,0,0,1,0,35,"Chambers, Jason P"
2011,Spring,2011-sp,ADV,481,Advertising Research Methods,LEC,0,90,0,0,7,0,0,1,0,0,0,0,0,0,98,"Oh, Sang Do"
2011,Spring,2011-sp,ADV,483,Audience Analysis,LCD,0,0,5,4,13,7,6,0,0,0,0,0,0,0,35,"Clifton, Rhiannon L"
2011,Spring,2011-sp,ADV,483,Audience Analysis,LCD,0,15,14,5,3,0,0,0,0,0,0,0,0,0,37,"Ham, Chang Dae"
2011,Spring,2011-sp,ADV,491,Advertising Management Plan,LCD,0,0,14,22,9,4,1,0,1,0,0,0,0,0,51,"Duff, Brittany"
